second,Volt
0.527,0.240704
0.5295,0.09598
0.532,0.032161
0.5345,0.023618
0.537,-0.00804
0.5395,0
0.542,0
0.5445,-0.120101
0.547,0.288945
0.5495,0.11206
0.552,-0.144221
0.5545,0.08794
0.557,0.039698
0.5595,-0.00804
0.562,0.031658
0.5645,-0.023618
0.567,-0.136181
0.5695,0.305025
0.572,-0.192965
0.5745,0.128141
0.577,0.007538
0.5795,0.007538
0.582,0.007538
0.5845,-0.024121
0.587,-0.063819
0.5895,-0.015578
0.592,0.039698
0.5945,-0.345226
0.597,0.136181
0.5995,-0.080402
0.602,-0.023618
0.6045,-0.01608
0.607,-0.039698
0.6095,0.015578
0.612,0.079899
0.6145,-0.329146
0.617,0.337186
0.6195,-0.063819
0.622,-0.015578
0.6245,0.039698
0.627,-0.01608
0.6295,0.00804
0.632,0.039698
0.6345,0.039698
0.637,-0.264824
0.6395,-0.345226
0.642,0.10402
0.6445,0.063819
0.647,-0.015578
0.6495,-0.031658
0.652,0.039698
0.6545,-0.064322
0.657,0.007538
0.6595,0.208543
0.662,-0.329146
0.6645,0.128141
0.667,0.079899
0.6695,-0.031658
0.672,-0.015578
0.6745,-0.055779
0.677,-0.031658
0.6795,0.128141
0.682,0
0.6845,0.120101
0.687,-0.120101
0.6895,0.00804
0.692,0.047739
0.6945,-0.023618
0.697,0.040201
0.6995,0.079899
0.702,-0.064322
0.7045,0.329146
0.707,0.152261
0.7095,-0.11206
0.712,0.055779
0.7145,-0.047739
0.717,-0.023618
0.7195,0.023618
0.722,-0.064322
0.7245,0.104523
0.727,0.296985
0.7295,0.088442
0.732,0.048241
0.7345,-0.00804
0.737,-0.031658
0.7395,0.031658
0.742,-0.031658
0.7445,0.056281
0.747,-0.01608
0.7495,-0.361307
0.752,0.248744
0.7545,0.047739
0.757,-0.01608
0.7595,0.01608
0.762,-0.01608
0.7645,-0.055779
0.767,0.071859
0.7695,0.039698
0.772,-0.288945
0.7745,-0.209045
0.777,-0.120101
0.7795,0.071859
0.782,0.031658
0.7845,-0.01608
0.787,0.00804
0.7895,0.007538
0.792,-0.144221
0.7945,0.224623
0.797,0.10402
0.7995,-0.08794
0.802,0.055779
0.8045,-0.063819
0.807,0.01608
0.8095,0.015578
0.812,0.007538
0.8145,0.08794
0.817,-0.289447
0.8195,-0.039698
0.822,0.08794
0.8245,-0.079899
0.827,-0.039698
0.8295,0.031658
0.832,-0.055779
0.8345,0.032161
0.837,-0.055779
0.8395,-0.345226
0.842,-0.055779
0.8445,-0.032161
0.847,-0.047739
0.8495,0.015578
0.852,-0.024121
0.8545,-0.015578
0.857,-0.071859
0.8595,-0.104523
0.862,0.361307
0.8645,-0.096482
0.867,-0.040201
0.8695,-0.015578
0.872,-0.007538
0.8745,-0.031658
0.877,0.039698
0.8795,-0.064322
0.882,0.032161
0.8845,0.321106
0.887,0.047739
0.8895,0.023618
0.892,0
0.8945,-0.039698
0.897,0.007538
0.8995,-0.063819
0.902,-0.08794
0.9045,-0.024121
0.907,-0.249246
0.9095,0.079899
0.912,-0.064322
0.9145,0.01608
0.917,-0.015578
0.9195,-0.00804
0.922,-0.039698
0.9245,0.071859
0.927,-0.079899
0.9295,-0.039698
0.932,0.071859
0.9345,-0.09598
0.937,0.047739
0.9395,-0.031658
0.942,-0.023618
0.9445,0.015578
0.947,-0.063819
0.9495,-0.184422
0.952,0.321106
0.9545,-0.072362
0.957,-0.079899
0.9595,0.031658
0.962,-0.039698
0.9645,0.00804
0.967,0.031658
0.9695,0.071859
0.972,0.040201
0.9745,0.329146
0.977,-0.120101
0.9795,0.063819
0.982,-0.047739
0.9845,0
0.987,0.007538
0.9895,-0.055779
0.992,0.056281
0.9945,0.200503
0.997,-0.063819
0.9995,0.160302
1.002,-0.023618
1.0045,-0.039698
1.007,0.015578
1.0095,-0.023618
1.012,0.047739
1.0145,0.08794
1.017,-0.216583
